"Time","cpu_usage"
2023-09-08 01:29:45,19.8%
2023-09-08 01:29:50,24.0%
2023-09-08 01:29:55,23.2%
2023-09-08 01:30:00,15.4%
2023-09-08 01:30:05,11.8%
2023-09-08 01:30:10,25.4%
2023-09-08 01:30:15,17.0%
2023-09-08 01:30:20,15.6%
2023-09-08 01:30:25,34.4%
2023-09-08 01:30:30,29.4%
2023-09-08 01:30:35,34.2%
2023-09-08 01:30:40,25.4%
2023-09-08 01:30:45,11.4%
2023-09-08 01:30:50,19.8%
2023-09-08 01:30:55,17.8%
2023-09-08 01:31:00,13.6%
2023-09-08 01:31:05,8.00%
2023-09-08 01:31:10,22.2%
2023-09-08 01:31:15,14.8%
2023-09-08 01:31:20,17.4%
2023-09-08 01:31:25,18.6%
2023-09-08 01:31:30,12.4%
2023-09-08 01:31:35,14.6%
2023-09-08 01:31:40,18.2%
2023-09-08 01:31:45,24.8%
2023-09-08 01:31:50,11.2%
2023-09-08 01:31:55,16.6%
2023-09-08 01:32:00,18.4%
2023-09-08 01:32:05,22.2%
2023-09-08 01:32:10,16.0%
2023-09-08 01:32:15,14.0%
2023-09-08 01:32:20,18.0%
2023-09-08 01:32:25,17.2%
2023-09-08 01:32:30,9.80%
2023-09-08 01:32:35,13.6%
2023-09-08 01:32:40,17.0%
2023-09-08 01:32:45,16.8%
2023-09-08 01:32:50,9.80%
2023-09-08 01:32:55,23.2%
2023-09-08 01:33:00,14.6%
2023-09-08 01:33:05,12.6%
2023-09-08 01:33:10,22.2%
2023-09-08 01:33:15,19.2%
2023-09-08 01:33:20,5.40%
2023-09-08 01:33:25,18.6%
2023-09-08 01:33:30,18.2%
2023-09-08 01:33:35,19.4%
2023-09-08 01:33:40,15.8%
2023-09-08 01:33:45,6.80%
2023-09-08 01:33:50,13.4%
2023-09-08 01:33:55,15.2%
2023-09-08 01:34:00,11.0%
2023-09-08 01:34:05,9.00%
2023-09-08 01:34:10,17.4%
2023-09-08 01:34:15,6.20%
2023-09-08 01:34:20,8.60%
2023-09-08 01:34:25,23.2%
2023-09-08 01:34:30,17.2%
2023-09-08 01:34:35,19.0%
2023-09-08 01:34:40,11.0%
2023-09-08 01:34:45,9.00%
2023-09-08 01:34:50,11.8%
2023-09-08 01:34:55,17.8%
2023-09-08 01:35:00,14.6%
2023-09-08 01:35:05,19.4%
2023-09-08 01:35:10,25.2%
2023-09-08 01:35:15,21.0%
2023-09-08 01:35:20,14.8%
2023-09-08 01:35:25,35.8%
2023-09-08 01:35:30,20.4%
2023-09-08 01:35:35,18.8%
2023-09-08 01:35:40,28.0%
2023-09-08 01:35:45,46.0%
2023-09-08 01:35:50,35.4%
2023-09-08 01:35:55,29.0%
2023-09-08 01:36:00,23.4%
2023-09-08 01:36:05,35.4%
2023-09-08 01:36:10,12.4%
2023-09-08 01:36:15,8.20%
2023-09-08 01:36:20,18.4%
2023-09-08 01:36:25,18.0%
2023-09-08 01:36:30,17.0%
2023-09-08 01:36:35,11.2%
2023-09-08 01:36:40,17.6%
2023-09-08 01:36:45,22.4%
2023-09-08 01:36:50,19.6%
2023-09-08 01:36:55,22.4%
2023-09-08 01:37:00,13.0%
2023-09-08 01:37:05,18.6%
2023-09-08 01:37:10,12.8%
2023-09-08 01:37:15,16.6%
2023-09-08 01:37:20,11.6%
2023-09-08 01:37:25,14.4%
2023-09-08 01:37:30,11.2%
2023-09-08 01:37:35,12.0%
2023-09-08 01:37:40,19.4%
2023-09-08 01:37:45,12.6%
2023-09-08 01:37:50,9.80%
2023-09-08 01:37:55,16.6%
2023-09-08 01:38:00,14.4%
2023-09-08 01:38:05,18.8%
2023-09-08 01:38:10,21.4%
2023-09-08 01:38:15,19.0%
2023-09-08 01:38:20,16.8%
2023-09-08 01:38:25,13.4%
2023-09-08 01:38:30,16.6%
2023-09-08 01:38:35,8.20%
2023-09-08 01:38:40,9.80%
2023-09-08 01:38:45,8.80%
2023-09-08 01:38:50,6.20%
2023-09-08 01:38:55,15.2%
2023-09-08 01:39:00,11.4%
2023-09-08 01:39:05,17.6%
2023-09-08 01:39:10,31.2%
2023-09-08 01:39:15,26.8%
2023-09-08 01:39:20,29.2%
2023-09-08 01:39:25,25.0%
2023-09-08 01:39:30,15.0%
2023-09-08 01:39:35,15.8%
2023-09-08 01:39:40,17.8%
2023-09-08 01:39:45,27.6%
2023-09-08 01:39:50,24.6%
2023-09-08 01:39:55,17.4%
2023-09-08 01:40:00,21.4%
2023-09-08 01:40:05,28.0%
2023-09-08 01:40:10,30.4%
2023-09-08 01:40:15,34.6%
2023-09-08 01:40:20,28.0%
2023-09-08 01:40:25,14.8%
2023-09-08 01:40:30,22.6%
2023-09-08 01:40:35,21.4%
2023-09-08 01:40:40,27.8%
2023-09-08 01:40:45,16.2%
2023-09-08 01:40:50,14.4%
2023-09-08 01:40:55,25.8%
2023-09-08 01:41:00,17.6%
2023-09-08 01:41:05,12.8%
2023-09-08 01:41:10,11.6%
2023-09-08 01:41:15,21.0%
2023-09-08 01:41:20,19.6%
2023-09-08 01:41:25,23.0%
2023-09-08 01:41:30,16.4%
2023-09-08 01:41:35,4.60%
2023-09-08 01:41:40,23.0%
2023-09-08 01:41:45,12.8%
2023-09-08 01:41:50,12.2%
2023-09-08 01:41:55,14.6%
2023-09-08 01:42:00,6.80%
2023-09-08 01:42:05,14.0%
2023-09-08 01:42:10,21.8%
2023-09-08 01:42:15,14.0%
2023-09-08 01:42:20,19.8%
2023-09-08 01:42:25,13.8%
2023-09-08 01:42:30,17.4%
2023-09-08 01:42:35,6.00%
2023-09-08 01:42:40,10.4%
2023-09-08 01:42:45,5.80%
2023-09-08 01:42:50,4.60%
2023-09-08 01:42:55,3.60%
2023-09-08 01:43:00,5.40%
2023-09-08 01:43:05,6.00%
2023-09-08 01:43:10,10.8%
2023-09-08 01:43:15,11.8%
2023-09-08 01:43:20,11.0%
2023-09-08 01:43:25,14.6%
2023-09-08 01:43:30,14.2%
2023-09-08 01:43:35,11.4%
2023-09-08 01:43:40,10.2%
2023-09-08 01:43:45,18.2%
2023-09-08 01:43:50,14.6%
2023-09-08 01:43:55,17.6%
2023-09-08 01:44:00,21.0%
2023-09-08 01:44:05,8.40%
2023-09-08 01:44:10,16.2%
2023-09-08 01:44:15,11.8%
2023-09-08 01:44:20,10.2%
2023-09-08 01:44:25,21.6%
2023-09-08 01:44:30,7.80%
2023-09-08 01:44:35,15.8%
2023-09-08 01:44:40,15.8%
2023-09-08 01:44:45,14.6%
2023-09-08 01:44:50,13.2%
2023-09-08 01:44:55,16.4%
2023-09-08 01:45:00,18.4%
2023-09-08 01:45:05,15.2%
2023-09-08 01:45:10,23.2%
2023-09-08 01:45:15,20.6%
2023-09-08 01:45:20,7.60%
2023-09-08 01:45:25,6.80%
2023-09-08 01:45:30,14.8%
2023-09-08 01:45:35,8.40%
2023-09-08 01:45:40,11.8%
2023-09-08 01:45:45,8.60%
2023-09-08 01:45:50,21.2%
2023-09-08 01:45:55,21.8%
2023-09-08 01:46:00,15.0%
2023-09-08 01:46:05,17.6%
2023-09-08 01:46:10,26.0%
2023-09-08 01:46:15,16.8%
2023-09-08 01:46:20,3.80%
2023-09-08 01:46:25,12.2%
2023-09-08 01:46:30,10.2%
2023-09-08 01:46:35,10.2%
2023-09-08 01:46:40,15.0%
2023-09-08 01:46:45,21.4%
2023-09-08 01:46:50,5.00%
2023-09-08 01:46:55,10.8%
2023-09-08 01:47:00,17.2%
2023-09-08 01:47:05,13.8%
2023-09-08 01:47:10,12.2%
2023-09-08 01:47:15,10.2%
2023-09-08 01:47:20,15.8%
2023-09-08 01:47:25,13.8%
2023-09-08 01:47:30,9.80%
2023-09-08 01:47:35,15.4%
2023-09-08 01:47:40,13.8%
2023-09-08 01:47:45,14.4%
2023-09-08 01:47:50,16.0%
2023-09-08 01:47:55,17.0%
2023-09-08 01:48:00,15.4%
2023-09-08 01:48:05,24.8%
2023-09-08 01:48:10,16.2%
2023-09-08 01:48:15,13.8%
2023-09-08 01:48:20,13.2%
2023-09-08 01:48:25,16.4%
2023-09-08 01:48:30,11.6%
2023-09-08 01:48:35,12.6%
2023-09-08 01:48:40,18.0%
2023-09-08 01:48:45,20.2%
2023-09-08 01:48:50,14.4%
2023-09-08 01:48:55,12.4%
2023-09-08 01:49:00,12.8%
2023-09-08 01:49:05,22.6%
2023-09-08 01:49:10,12.0%
2023-09-08 01:49:15,3.00%
2023-09-08 01:49:20,7.20%
2023-09-08 01:49:25,15.6%
2023-09-08 01:49:30,19.6%
2023-09-08 01:49:35,16.6%
2023-09-08 01:49:40,11.4%
2023-09-08 01:49:45,16.0%
2023-09-08 01:49:50,9.60%
2023-09-08 01:49:55,17.2%
2023-09-08 01:50:00,15.2%
2023-09-08 01:50:05,15.6%
2023-09-08 01:50:10,18.0%
2023-09-08 01:50:15,21.0%
2023-09-08 01:50:20,15.6%
2023-09-08 01:50:25,9.20%
2023-09-08 01:50:30,12.4%
2023-09-08 01:50:35,13.4%
2023-09-08 01:50:40,18.8%
2023-09-08 01:50:45,15.0%
2023-09-08 01:50:50,18.0%
2023-09-08 01:50:55,16.0%
2023-09-08 01:51:00,14.0%
2023-09-08 01:51:05,16.4%
2023-09-08 01:51:10,8.60%
2023-09-08 01:51:15,11.0%
2023-09-08 01:51:20,6.20%
2023-09-08 01:51:25,15.2%
2023-09-08 01:51:30,21.0%
2023-09-08 01:51:35,11.4%
2023-09-08 01:51:40,22.8%
2023-09-08 01:51:45,15.8%
2023-09-08 01:51:50,15.4%
2023-09-08 01:51:55,16.0%
2023-09-08 01:52:00,24.4%
2023-09-08 01:52:05,26.0%
2023-09-08 01:52:10,7.00%
2023-09-08 01:52:15,8.20%
2023-09-08 01:52:20,8.00%
2023-09-08 01:52:25,17.4%
2023-09-08 01:52:30,22.4%
2023-09-08 01:52:35,15.6%
2023-09-08 01:52:40,17.4%
2023-09-08 01:52:45,28.4%
2023-09-08 01:52:50,19.6%
2023-09-08 01:52:55,22.2%
2023-09-08 01:53:00,20.6%
2023-09-08 01:53:05,19.0%
2023-09-08 01:53:10,21.0%
2023-09-08 01:53:15,17.2%
2023-09-08 01:53:20,22.8%
2023-09-08 01:53:25,12.8%
2023-09-08 01:53:30,5.20%
2023-09-08 01:53:35,13.2%
2023-09-08 01:53:40,5.20%
2023-09-08 01:53:45,10.00%
2023-09-08 01:53:50,18.8%
2023-09-08 01:53:55,20.0%
2023-09-08 01:54:00,15.4%
2023-09-08 01:54:05,20.8%
2023-09-08 01:54:10,20.0%
2023-09-08 01:54:15,17.8%
2023-09-08 01:54:20,17.0%
2023-09-08 01:54:25,13.0%
2023-09-08 01:54:30,12.2%
2023-09-08 01:54:35,12.6%
2023-09-08 01:54:40,14.2%
2023-09-08 01:54:45,15.0%
2023-09-08 01:54:50,12.0%
2023-09-08 01:54:55,12.0%
2023-09-08 01:55:00,8.40%
2023-09-08 01:55:05,19.6%
2023-09-08 01:55:10,15.4%
2023-09-08 01:55:15,19.4%
2023-09-08 01:55:20,16.0%
2023-09-08 01:55:25,19.2%
2023-09-08 01:55:30,21.4%
2023-09-08 01:55:35,13.0%
2023-09-08 01:55:40,12.2%
2023-09-08 01:55:45,28.8%
2023-09-08 01:55:50,16.8%
2023-09-08 01:55:55,6.80%
2023-09-08 01:56:00,6.80%
2023-09-08 01:56:05,5.80%
2023-09-08 01:56:10,8.00%
2023-09-08 01:56:15,12.2%
2023-09-08 01:56:20,11.0%
2023-09-08 01:56:25,10.6%
2023-09-08 01:56:30,21.2%
2023-09-08 01:56:35,15.6%
2023-09-08 01:56:40,13.2%
2023-09-08 01:56:45,15.8%
2023-09-08 01:56:50,14.6%
2023-09-08 01:56:55,8.80%
2023-09-08 01:57:00,12.0%
2023-09-08 01:57:05,14.6%
2023-09-08 01:57:10,8.00%
2023-09-08 01:57:15,12.6%
2023-09-08 01:57:20,14.2%
2023-09-08 01:57:25,19.0%
2023-09-08 01:57:30,11.6%
2023-09-08 01:57:35,9.20%
2023-09-08 01:57:40,8.20%
2023-09-08 01:57:45,16.2%
2023-09-08 01:57:50,4.40%
2023-09-08 01:57:55,14.2%
2023-09-08 01:58:00,5.80%
2023-09-08 01:58:05,8.40%
2023-09-08 01:58:10,15.4%
2023-09-08 01:58:15,19.4%
2023-09-08 01:58:20,8.40%
2023-09-08 01:58:25,14.4%
2023-09-08 01:58:30,15.4%
2023-09-08 01:58:35,11.4%
2023-09-08 01:58:40,11.4%
2023-09-08 01:58:45,11.2%
2023-09-08 01:58:50,13.0%
2023-09-08 01:58:55,18.6%
2023-09-08 01:59:00,14.6%
2023-09-08 01:59:05,16.8%
2023-09-08 01:59:10,20.6%
2023-09-08 01:59:15,17.6%
2023-09-08 01:59:20,14.8%
2023-09-08 01:59:25,21.2%
2023-09-08 01:59:30,13.0%
2023-09-08 01:59:35,11.2%
2023-09-08 01:59:40,9.40%
2023-09-08 01:59:45,19.8%
2023-09-08 01:59:50,12.6%
2023-09-08 01:59:55,12.0%
2023-09-08 02:00:00,13.0%
2023-09-08 02:00:05,14.2%
2023-09-08 02:00:10,20.2%
2023-09-08 02:00:15,30.8%
2023-09-08 02:00:20,18.8%
2023-09-08 02:00:25,18.4%
2023-09-08 02:00:30,12.2%
2023-09-08 02:00:35,9.60%
2023-09-08 02:00:40,13.8%
2023-09-08 02:00:45,7.40%
2023-09-08 02:00:50,11.4%
2023-09-08 02:00:55,19.4%
2023-09-08 02:01:00,16.0%
2023-09-08 02:01:05,11.0%
2023-09-08 02:01:10,15.8%
2023-09-08 02:01:15,15.8%
2023-09-08 02:01:20,19.8%
2023-09-08 02:01:25,15.6%
2023-09-08 02:01:30,14.8%
2023-09-08 02:01:35,13.8%
2023-09-08 02:01:40,8.60%
2023-09-08 02:01:45,14.2%
2023-09-08 02:01:50,14.0%
2023-09-08 02:01:55,16.8%
2023-09-08 02:02:00,10.4%
2023-09-08 02:02:05,7.00%
2023-09-08 02:02:10,5.80%
2023-09-08 02:02:15,13.4%
2023-09-08 02:02:20,13.0%
2023-09-08 02:02:25,11.6%
2023-09-08 02:02:30,9.40%
2023-09-08 02:02:35,12.6%
2023-09-08 02:02:40,7.40%
2023-09-08 02:02:45,7.60%
2023-09-08 02:02:50,12.4%
2023-09-08 02:02:55,13.2%
2023-09-08 02:03:00,8.20%
2023-09-08 02:03:05,15.0%
2023-09-08 02:03:10,10.0%
2023-09-08 02:03:15,17.6%
2023-09-08 02:03:20,19.6%
2023-09-08 02:03:25,16.2%
2023-09-08 02:03:30,13.4%
2023-09-08 02:03:35,12.0%
2023-09-08 02:03:40,12.2%
2023-09-08 02:03:45,18.0%
2023-09-08 02:03:50,9.80%
2023-09-08 02:03:55,21.8%
2023-09-08 02:04:00,19.6%
2023-09-08 02:04:05,30.2%
2023-09-08 02:04:10,18.4%
2023-09-08 02:04:15,18.0%
2023-09-08 02:04:20,11.8%
2023-09-08 02:04:25,11.6%
2023-09-08 02:04:30,16.4%
2023-09-08 02:04:35,12.2%
2023-09-08 02:04:40,6.40%
2023-09-08 02:04:45,7.40%
2023-09-08 02:04:50,9.60%
2023-09-08 02:04:55,14.2%
2023-09-08 02:05:00,15.8%
2023-09-08 02:05:05,12.4%
2023-09-08 02:05:10,20.8%
2023-09-08 02:05:15,10.0%
2023-09-08 02:05:20,13.8%
2023-09-08 02:05:25,15.0%
2023-09-08 02:05:30,12.6%
2023-09-08 02:05:35,12.2%
2023-09-08 02:05:40,6.60%
2023-09-08 02:05:45,14.2%
2023-09-08 02:05:50,12.6%
2023-09-08 02:05:55,14.6%
2023-09-08 02:06:00,8.80%
2023-09-08 02:06:05,2.60%
2023-09-08 02:06:10,11.8%
2023-09-08 02:06:15,17.6%
2023-09-08 02:06:20,12.4%
2023-09-08 02:06:25,15.8%
2023-09-08 02:06:30,8.80%
2023-09-08 02:06:35,9.00%
2023-09-08 02:06:40,9.20%
2023-09-08 02:06:45,14.2%
2023-09-08 02:06:50,8.20%
2023-09-08 02:06:55,8.20%
2023-09-08 02:07:00,13.0%
2023-09-08 02:07:05,10.4%
2023-09-08 02:07:10,14.4%
2023-09-08 02:07:15,8.40%
2023-09-08 02:07:20,10.4%
2023-09-08 02:07:25,15.2%
2023-09-08 02:07:30,14.8%
2023-09-08 02:07:35,13.4%
2023-09-08 02:07:40,12.8%
2023-09-08 02:07:45,10.00%
2023-09-08 02:07:50,16.0%
2023-09-08 02:07:55,15.8%
2023-09-08 02:08:00,17.2%
2023-09-08 02:08:05,21.4%
2023-09-08 02:08:10,20.8%
2023-09-08 02:08:15,15.6%
2023-09-08 02:08:20,17.8%
2023-09-08 02:08:25,20.8%
2023-09-08 02:08:30,16.0%
2023-09-08 02:08:35,10.6%
2023-09-08 02:08:40,11.8%
2023-09-08 02:08:45,11.2%
2023-09-08 02:08:50,12.4%
2023-09-08 02:08:55,8.80%
2023-09-08 02:09:00,15.0%
2023-09-08 02:09:05,17.0%
2023-09-08 02:09:10,13.6%
2023-09-08 02:09:15,17.6%
2023-09-08 02:09:20,4.80%
2023-09-08 02:09:25,14.6%
2023-09-08 02:09:30,12.8%
2023-09-08 02:09:35,4.00%
2023-09-08 02:09:40,10.4%
2023-09-08 02:09:45,11.0%
2023-09-08 02:09:50,10.8%
2023-09-08 02:09:55,12.0%
2023-09-08 02:10:00,19.0%
2023-09-08 02:10:05,12.0%
2023-09-08 02:10:10,11.6%
2023-09-08 02:10:15,14.8%
2023-09-08 02:10:20,15.8%
2023-09-08 02:10:25,14.6%
2023-09-08 02:10:30,11.4%
2023-09-08 02:10:35,14.6%
2023-09-08 02:10:40,13.8%
2023-09-08 02:10:45,17.4%
2023-09-08 02:10:50,6.98%
2023-09-08 02:10:55,16.2%
2023-09-08 02:11:00,11.2%
2023-09-08 02:11:05,4.60%
2023-09-08 02:11:10,15.4%
2023-09-08 02:11:15,12.2%
2023-09-08 02:11:20,13.2%
2023-09-08 02:11:25,12.7%
2023-09-08 02:11:30,6.62%
2023-09-08 02:11:35,13.6%
2023-09-08 02:11:40,4.40%
2023-09-08 02:11:45,16.0%
2023-09-08 02:11:50,12.0%
2023-09-08 02:11:55,13.0%
2023-09-08 02:12:00,15.6%
2023-09-08 02:12:05,14.2%
2023-09-08 02:12:10,11.8%
2023-09-08 02:12:15,10.4%
2023-09-08 02:12:20,12.0%
2023-09-08 02:12:25,12.8%
2023-09-08 02:12:30,11.0%
2023-09-08 02:12:35,10.2%
2023-09-08 02:12:40,10.4%
2023-09-08 02:12:45,15.0%
2023-09-08 02:12:50,13.8%
2023-09-08 02:12:55,14.6%
2023-09-08 02:13:00,10.4%
2023-09-08 02:13:05,15.8%
2023-09-08 02:13:10,9.60%
2023-09-08 02:13:15,13.4%
2023-09-08 02:13:20,13.0%
2023-09-08 02:13:25,12.2%
2023-09-08 02:13:30,12.8%
2023-09-08 02:13:35,17.4%
2023-09-08 02:13:40,12.0%
2023-09-08 02:13:45,14.2%
2023-09-08 02:13:50,17.6%
2023-09-08 02:13:55,10.6%
2023-09-08 02:14:00,7.60%
2023-09-08 02:14:05,14.2%
2023-09-08 02:14:10,19.4%
2023-09-08 02:14:15,13.4%
2023-09-08 02:14:20,15.2%
2023-09-08 02:14:25,12.8%
2023-09-08 02:14:30,11.2%
2023-09-08 02:14:35,17.0%
2023-09-08 02:14:40,14.0%
2023-09-08 02:14:45,10.6%
2023-09-08 02:14:50,14.4%
2023-09-08 02:14:55,14.4%
2023-09-08 02:15:00,11.6%
2023-09-08 02:15:05,15.2%
2023-09-08 02:15:10,24.8%
2023-09-08 02:15:15,13.0%
2023-09-08 02:15:20,11.4%
2023-09-08 02:15:25,14.2%
2023-09-08 02:15:30,10.4%
2023-09-08 02:15:35,5.60%
2023-09-08 02:15:40,9.40%
2023-09-08 02:15:45,10.4%
2023-09-08 02:15:50,9.60%
2023-09-08 02:15:55,11.2%
2023-09-08 02:16:00,11.4%
2023-09-08 02:16:05,18.2%
2023-09-08 02:16:10,10.6%
2023-09-08 02:16:15,9.00%
2023-09-08 02:16:20,19.0%
2023-09-08 02:16:25,13.8%
2023-09-08 02:16:30,11.0%
2023-09-08 02:16:35,15.8%
2023-09-08 02:16:40,15.6%
2023-09-08 02:16:45,7.20%
2023-09-08 02:16:50,7.40%
2023-09-08 02:16:55,13.0%
2023-09-08 02:17:00,7.20%
2023-09-08 02:17:05,17.0%
2023-09-08 02:17:10,8.40%
2023-09-08 02:17:15,20.4%
2023-09-08 02:17:20,8.00%
2023-09-08 02:17:25,11.8%
2023-09-08 02:17:30,15.2%
2023-09-08 02:17:35,9.00%
2023-09-08 02:17:40,11.6%
2023-09-08 02:17:45,10.2%
2023-09-08 02:17:50,9.00%
2023-09-08 02:17:55,7.00%
2023-09-08 02:18:00,12.0%
2023-09-08 02:18:05,14.2%
2023-09-08 02:18:10,17.6%
2023-09-08 02:18:15,15.6%
2023-09-08 02:18:20,16.6%
2023-09-08 02:18:25,9.20%
2023-09-08 02:18:30,15.0%
2023-09-08 02:18:35,13.0%
2023-09-08 02:18:40,10.0%
2023-09-08 02:18:45,9.80%
2023-09-08 02:18:50,6.80%
2023-09-08 02:18:55,5.60%
2023-09-08 02:19:00,15.2%
2023-09-08 02:19:05,9.60%
2023-09-08 02:19:10,15.6%
2023-09-08 02:19:15,6.40%
2023-09-08 02:19:20,12.0%
2023-09-08 02:19:25,14.2%
2023-09-08 02:19:30,10.00%
2023-09-08 02:19:35,8.80%
2023-09-08 02:19:40,11.8%
2023-09-08 02:19:45,8.20%
2023-09-08 02:19:50,9.80%
2023-09-08 02:19:55,16.4%
2023-09-08 02:20:00,18.4%
2023-09-08 02:20:05,10.8%
2023-09-08 02:20:10,10.8%
2023-09-08 02:20:15,18.8%
2023-09-08 02:20:20,13.2%
2023-09-08 02:20:25,12.8%
2023-09-08 02:20:30,10.6%
2023-09-08 02:20:35,9.40%
